id,lbl,definition
GO:0048870,cell motility,Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another.
GO:0050896,response to stimulus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
GO:0051604,protein maturation,Any process leading to the attainment of the full functional capacity of a protein.
GO:0055086,nucleobase-containing small molecule metabolic process,"The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."
GO:0060089,molecular transducer activity,A compound molecular function in which an effector function is controlled by one or more regulatory components.
GO:0060090,molecular adaptor activity,"The binding activity of a molecule that brings together two or more molecules through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way."
GO:0061024,membrane organization,"A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins."
GO:0071554,cell wall organization or biogenesis,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cell wall."
GO:0071941,nitrogen cycle metabolic process,"A nitrogen compound metabolic process that contributes to the nitrogen cycle. The nitrogen cycle is a series of metabolic pathways by which nitrogen is converted between various forms and redox states; it encompasses pathways in which nitrogen is acted upon directly, such as nitrification, denitrification, nitrogen fixation, and mineralization."
GO:0072657,protein localization to membrane,"A process in which a protein is transported to, or maintained in, a specific location in a membrane."
GO:0090729,toxin activity,"Interacting selectively with one or more biological molecules in another (target) organism, initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
GO:0098542,defense response to other organism,Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism.
GO:0098631,cell adhesion mediator activity,"The binding by a cell-adhesion protein on a cell surface to an adhesion molecule on another cell surface or an external substrate, to mediate adhesion of the cell to the external substrate or to another cell."
GO:0098754,detoxification,Any process that reduces or removes the toxicity of a toxic substance. These may include transport of the toxic substance away from sensitive areas and to compartments or complexes whose purpose is sequestration of the toxic substance.
GO:0098772,molecular function regulator activity,A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition.
GO:0140096,"catalytic activity, acting on a protein",Catalytic activity that acts to modify a protein.
GO:0140097,"catalytic activity, acting on DNA",Catalytic activity that acts to modify DNA.
GO:0140098,"catalytic activity, acting on RNA","Catalytic activity that acts to modify RNA, driven by ATP hydrolysis."
GO:0140104,molecular carrier activity,Directly binding to a specific ion or molecule and delivering it either to an acceptor molecule or to a specific location.
GO:0140299,small molecule sensor activity,Binding to a small molecule and eliciting a change in the protein's activity in response to the intracellular level of that small molecule.
GO:0140313,molecular sequestering activity,Binding to a specific molecule to prevent it from interacting with other partners or to inhibit its localization to the area of the cell or complex where it is active.
GO:0140657,ATP-dependent activity,"A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."
GO:1901135,carbohydrate derivative metabolic process,The chemical reactions and pathways involving carbohydrate derivative.
GO:0000054,ribosomal subunit export from nucleus,The directed movement of a ribosomal subunit from the nucleus into the cytoplasm.
GO:0000278,mitotic cell cycle,"Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."
GO:0000747,conjugation with cellular fusion,A conjugation process that results in the union of cellular and genetic information from compatible mating types. An example of this process is found in Saccharomyces cerevisiae.
GO:0000902,cell morphogenesis,The developmental process in which the size or shape of a cell is generated and organized.
GO:0001403,invasive growth in response to glucose limitation,"A growth pattern exhibited by budding haploid cells under certain growth conditions, in which cells retain the typical axial budding pattern of haploids, but become elongated and fail to separate after division; during growth on a solid substrate, this results in penetration of cells into the agar medium. An example of this process is found in Saccharomyces cerevisiae."
GO:0002181,cytoplasmic translation,The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein.
GO:0003682,chromatin binding,"Binding to chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."
GO:0003729,mRNA binding,"Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
GO:0004386,helicase activity,"Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix."
GO:0004518,nuclease activity,Catalysis of the hydrolysis of ester linkages within nucleic acids.
GO:0005085,guanyl-nucleotide exchange factor activity,"Stimulates the exchange of GDP to GTP on a signaling GTPase, changing its conformation to its active form. Guanine nucleotide exchange factors (GEFs) act by stimulating the release of guanosine diphosphate (GDP) to allow binding of guanosine triphosphate (GTP), which is more abundant in the cell under normal cellular physiological conditions."
GO:0005730,nucleolus,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
GO:0005739,mitochondrion,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
GO:0005740,mitochondrial envelope,The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space.
GO:0005773,vacuole,"A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
GO:0005777,peroxisome,"A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism."
GO:0005783,endoplasmic reticulum,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
GO:0005794,Golgi apparatus,"A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
GO:0005815,microtubule organizing center,"An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides."
GO:0005933,cellular bud,"A protuberance from a cell of an organism that reproduces by budding, which will grow larger and become a separate daughter cell after nuclear division, cytokinesis, and cell wall formation (when appropriate). The daughter cell may completely separate from the mother cell, or the mother and daughter cells may remain associated."
GO:0005938,cell cortex,"The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins."
GO:0006325,chromatin organization,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
GO:0006352,DNA-templated transcription initiation,"The initial step of transcription, consisting of the assembly of the RNA polymerase preinitiation complex (PIC) at a gene promoter, as well as the formation of the first few bonds of the RNA transcript. Transcription initiation includes abortive initiation events, which occur when the first few nucleotides are repeatedly synthesized and then released, and ends when promoter clearance takes place."
GO:0006353,DNA-templated transcription termination,"The completion of transcription: the RNA polymerase pauses, the RNA-DNA hybrid dissociates, followed by the release of the RNA polymerase from its DNA template."
GO:0006354,DNA-templated transcription elongation,The extension of an RNA molecule after transcription initiation and promoter clearance at a DNA-dependent RNA polymerase promoter by the addition of ribonucleotides catalyzed by an RNA polymerase.
GO:0006360,transcription by RNA polymerase I,"The synthesis of RNA from a DNA template by RNA polymerase I (RNAP I), originating at an RNAP I promoter."
GO:0006364,rRNA processing,Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules.
GO:0006366,transcription by RNA polymerase II,"The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."
GO:0006383,transcription by RNA polymerase III,"The synthesis of RNA from a DNA template by RNA polymerase III, originating at an RNAP III promoter."
GO:0006397,mRNA processing,Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.
GO:0006401,RNA catabolic process,"The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
GO:0006413,translational initiation,"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA."
GO:0006414,translational elongation,The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis.
GO:0006417,regulation of translation,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."
GO:0006418,tRNA aminoacylation for protein translation,"The synthesis of aminoacyl tRNA by the formation of an ester bond between the 3'-hydroxyl group of the most 3' adenosine of the tRNA and the alpha carboxylic acid group of an amino acid, to be used in ribosome-mediated polypeptide synthesis."
GO:0006468,protein phosphorylation,The process of introducing a phosphate group on to a protein.
GO:0006470,protein dephosphorylation,The process of removing one or more phosphoric residues from a protein.
GO:0006497,protein lipidation,The covalent attachment of lipid groups to an amino acid in a protein.
GO:0006605,protein targeting,"The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif."
GO:0006766,vitamin metabolic process,The chemical reactions and pathways involving vitamins. Vitamin is a general term for a number of unrelated organic substances that occur in many foods in small amounts and that are necessary in trace amounts for the normal metabolic functioning of the body. Vitamins may be water-soluble or fat-soluble and usually serve as components of coenzyme systems.
GO:0006811,monoatomic ion transport,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
GO:0006865,amino acid transport,"The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0006869,lipid transport,"The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
GO:0006873,intracellular monoatomic ion homeostasis,A homeostatic process involved in the maintenance of a steady state level of monoatomic ions within a cell. Monatomic ions (also called simple ions) are ions consisting of exactly one atom.
GO:0006887,exocytosis,"A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."
GO:0006897,endocytosis,A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle.
GO:0006970,response to osmotic stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of solutes outside the organism or cell."
GO:0006974,DNA damage response,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."
GO:0006979,response to oxidative stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
GO:0006997,nucleus organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the nucleus."
GO:0007005,mitochondrion organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a mitochondrion; includes mitochondrial morphogenesis and distribution, and replication of the mitochondrial genome as well as synthesis of new mitochondrial components."
GO:0007031,peroxisome organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a peroxisome. A peroxisome is a small, membrane-bounded organelle that uses dioxygen (O2) to oxidize organic molecules."
GO:0007033,vacuole organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vacuole."
GO:0007114,cell budding,"A form of asexual reproduction, occurring in certain bacteria and fungi (e.g. yeasts) and some primitive animals in which an individual arises from a daughter cell formed by pinching off a part of the parent cell. The budlike outgrowths so formed may sometimes remain attached to the parent cell."
GO:0007124,pseudohyphal growth,"The process in which cells grow as a chain of physically attached, elongated cells in response to an environmental stimulus or stimuli."
GO:0008033,tRNA processing,"The process in which a pre-tRNA molecule is converted to a mature tRNA, ready for addition of an aminoacyl group."
GO:0008135,"translation factor activity, RNA binding",Functions during translation by binding to RNA during polypeptide synthesis at the ribosome.
GO:0008168,methyltransferase activity,Catalysis of the transfer of a methyl group to an acceptor molecule.
GO:0008213,protein alkylation,The addition of an alkyl group to a protein amino acid. Alkyl groups are derived from alkanes by removal of one hydrogen atom.
GO:0008380,RNA splicing,The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA.
GO:0008643,carbohydrate transport,"The directed movement of carbohydrate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Carbohydrates are a group of organic compounds based of the general formula Cx(H2O)y."
GO:0009311,oligosaccharide metabolic process,"The chemical reactions and pathways involving oligosaccharides, molecules with between two and (about) 20 monosaccharide residues connected by glycosidic linkages."
GO:0009408,response to heat,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
GO:0009451,RNA modification,The covalent alteration of one or more nucleotides within an RNA molecule to produce an RNA molecule with a sequence that differs from that coded genetically.
GO:0010324,membrane invagination,The infolding of a membrane.
GO:0012505,endomembrane system,"A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."
GO:0015031,protein transport,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0015931,nucleobase-containing compound transport,"The directed movement of nucleobases, nucleosides, nucleotides and nucleic acids, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0016050,vesicle organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vesicle."
GO:0016197,endosomal transport,"The directed movement of substances mediated by an endosome, a membrane-bounded organelle that carries materials enclosed in the lumen or located in the endosomal membrane."
GO:0016757,glycosyltransferase activity,Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).
GO:0016798,"hydrolase activity, acting on glycosyl bonds",Catalysis of the hydrolysis of any glycosyl bond.
GO:0018193,peptidyl-amino acid modification,The alteration of an amino acid residue in a peptide.
GO:0019843,rRNA binding,Binding to a ribosomal RNA.
GO:0019899,enzyme binding,"Binding to an enzyme, a protein with catalytic activity."
GO:0022857,transmembrane transporter activity,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."
GO:0030234,enzyme regulator activity,Binds to and modulates the activity of an enzyme.
GO:0030427,site of polarized growth,Any part of a cell where non-isotropic growth takes place.
GO:0030533,triplet codon-amino acid adaptor activity,"The codon binding activity of a tRNA that positions an activated amino acid, mediating its insertion at the correct point in the sequence of a nascent polypeptide chain during protein synthesis."
GO:0030555,RNA modification guide activity,Specifies the site of a posttranscriptional modification in an RNA molecule by base pairing with a short sequence around the target residue.
GO:0030674,protein-macromolecule adaptor activity,"The binding activity of a protein that brings together two or more macromolecules in contact, permitting those molecules to function in a coordinated way. The adaptor can bring together two proteins, or a protein and another macromolecule such as a lipid or a nucleic acid."
GO:0031399,regulation of protein modification process,"Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."
GO:0031410,cytoplasmic vesicle,A vesicle found in the cytoplasm of a cell.
GO:0032182,ubiquitin-like protein binding,Binding to a small conjugating protein such as ubiquitin or a ubiquitin-like protein.
GO:0032196,transposition,"Any process involved in mediating the movement of discrete segments of DNA between nonhomologous sites. For elements that are transcribed as the first step of transposition, the process starts with the transcription of the transposable element, its translation and maturation, and ending with integration into DNA. For elements that are cut out, the process starts with the excision of the donor DNA and integrated into another site."
GO:0032200,telomere organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins."
GO:0032543,mitochondrial translation,"The chemical reactions and pathways resulting in the formation of a protein in a mitochondrion. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein; the mitochondrion has its own ribosomes and transfer RNAs, and uses a genetic code that differs from the nuclear code."
GO:0032787,monocarboxylic acid metabolic process,"The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."
GO:0033043,regulation of organelle organization,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."
GO:0042255,ribosome assembly,"The aggregation, arrangement and bonding together of the mature ribosome and of its subunits."
GO:0042273,ribosomal large subunit biogenesis,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a large ribosomal subunit; includes transport to the sites of protein synthesis."
GO:0042274,ribosomal small subunit biogenesis,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a small ribosomal subunit; includes transport to the sites of protein synthesis."
GO:0042594,response to starvation,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a starvation stimulus, deprivation of nourishment."
GO:0043144,sno(s)RNA processing,Any process involved in the conversion of a primary snoRNA family RNA transcript into a mature snoRNA (eukaryota) or sRNA (archaea).
GO:0043543,protein acylation,"The addition of an acyl group, any group or radical of the form RCO- where R is an organic group, to a protein amino acid."
GO:0045333,cellular respiration,The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration).
GO:0048193,Golgi vesicle transport,"The directed movement of substances into, out of or within the Golgi apparatus, mediated by vesicles."
GO:0048284,organelle fusion,The creation of a single organelle from two or more organelles.
GO:0048285,organelle fission,The creation of two or more organelles by division of one organelle.
GO:0048308,organelle inheritance,The partitioning of organelles between daughter cells at cell division.
GO:0051049,regulation of transport,"Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0051052,regulation of DNA metabolic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."
GO:0051082,unfolded protein binding,Binding to an unfolded protein.
GO:0051169,nuclear transport,"The directed movement of substances into, out of, or within the nucleus."
GO:0051321,meiotic cell cycle,"Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions."
GO:0051603,proteolysis involved in protein catabolic process,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
GO:0051726,regulation of cell cycle,Any process that modulates the rate or extent of progression through the cell cycle.
GO:0055085,transmembrane transport,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
GO:0061025,membrane fusion,The membrane organization process that joins two lipid bilayers to form a single membrane.
GO:0070647,protein modification by small protein conjugation or removal,"A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to or removed from a target protein."
GO:0070925,organelle assembly,"The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:2000070,regulation of response to water deprivation,"Any process that modulates the frequency, rate or extent of response to water deprivation."
GO:0050891,multicellular organismal-level water homeostasis,"A chemical homeostatic process involved in the maintenance of a steady state level of water within extracellular body fluids, such as blood, xylem or phloem, of a multicellular organism. This is distinct from maintenance of cellular homeostasis, which occurs within a cell."
GO:0009415,response to water,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of water."
GO:0009414,response to water deprivation,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a water deprivation stimulus, prolonged deprivation of water."
GO:1902427,regulation of water channel activity,"Any process that modulates the frequency, rate or extent of water channel activity."
GO:0006833,water transport,"The directed movement of water (H2O) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0009992,intracellular water homeostasis,"A homeostatic process involved in the maintenance of a steady state level of water within a cell."
GO:0009651,response to salt stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
GO:0097501,stress response to metal ion,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis caused by a metal ion stimulus."
GO:0030001,metal ion transport,"The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0010477,response to sulfur dioxide,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a sulfur dioxide (SO2) stimulus."
GO:0072348,sulfur compound transport,"The directed movement of compounds that contain sulfur, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0006791,sulfur utilization,"A series of processes that forms an integrated mechanism by which a cell or an organism detects the depletion of primary sulfur sources and then activates genes to scavenge the last traces of the primary sulfur source and to transport and metabolize alternate sulfur sources. The utilization process begins when the cell or organism detects sulfur levels, includes the activation of genes whose products detect, transport or metabolize sulfur-containing compounds, and ends when the sulfur is incorporated into the cell or organism's metabolism."
GO:0044272,sulfur compound biosynthetic process,"The chemical reactions and pathways resulting in the formation of compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione."
GO:0050826,response to freezing,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a freezing stimulus, temperatures below 0 degrees Celsius."
GO:0010286,heat acclimation,"Any process that increases heat tolerance of an organism in response to high temperatures."
GO:0009409,response to cold,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism."
GO:0009266,response to temperature stimulus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."
GO:0009271,phage shock,"A response by bacterial cells to a variety of stresses including filamentous phage infection, mislocalization of envelope proteins, extremes of temperature, osmolarity or ethanol concentration, and the presence of proton ionophores such as carbonylcyanide m-chlorophenylhydrazone (CCCP), that involves expression of the phage shock protein operon, and acts to protect the bacterial cells from damage."
GO:0009631,cold acclimation,"Any process that increases freezing tolerance of an organism in response to low, nonfreezing temperatures."
GO:0035635,entry of bacterium into host cell,"The process in which a bacterium enters a host cell. The host is defined as the larger of the organisms involved in a symbiotic interaction."
GO:0051410,detoxification of nitrogen compound,"Any process that reduces or removes the toxicity of nitrogenous compounds which are dangerous or toxic. This includes the aerobic conversion of toxic compounds to harmless substances."
GO:2001057,reactive nitrogen species metabolic process,"The chemical reactions and pathways involving a reactive nitrogen species."
GO:0006808,regulation of nitrogen utilization,"Any process that modulates the frequency, rate or extent of nitrogen utilization."
GO:0035713,response to nitrogen dioxide,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen dioxide (NO2) stimulus."
GO:0042128,nitrate assimilation,"The nitrogen metabolic process that encompasses the uptake of nitrate from the environment and reduction to ammonia, and results in the incorporation of nitrogen derived from nitrate into cellular substances."
GO:0019740,nitrogen utilization,"A series of processes that forms an integrated mechanism by which a cell or an organism detects the depletion of primary nitrogen source, usually ammonia, and then activates genes to scavenge the last traces of the primary nitrogen source and to transport and metabolize alternative nitrogen sources. The utilization process begins when the cell or organism detects nitrogen levels, includes the activation of genes whose products detect, transport or metabolize nitrogen-containing substances, and ends when nitrogen is incorporated into the cell or organism's metabolism."
GO:0007584,response to nutrient,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nutrient stimulus."
GO:0031667,response to nutrient levels,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."
GO:0046274,lignin catabolic process,"The chemical reactions and pathways resulting in the breakdown of lignins, a class of polymers of phenylpropanoid units."
GO:0000025,maltose catabolic process,The chemical reactions and pathways resulting in the breakdown of the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose).
GO:2000895,hemicellulose catabolic process,The chemical reactions and pathways resulting in the breakdown of a hemicellulose.
GO:2000897,amylopectin catabolic process,The chemical reactions and pathways resulting in the breakdown of an amylopectin.
GO:0009062,fatty acid catabolic process,"The chemical reactions and pathways resulting in the breakdown of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
GO:0046170,methanol catabolic process,"The chemical reactions and pathways resulting in the breakdown of methanol, CH3-OH, a colorless, flammable, mobile, poisonous liquid, widely used as a solvent."
GO:1903457,lactate catabolic process,"The chemical reactions and pathways resulting in the breakdown of lactate."
GO:0030245,cellulose catabolic process,"The chemical reactions and pathways resulting in the breakdown of cellulose, a linear beta1-4 glucan of molecular mass 50-400 kDa with the pyranose units in the -4C1 conformation."
GO:0005983,starch catabolic process,"The chemical reactions and pathways resulting in the breakdown of starch, the most important reserve polysaccharide in plants."
GO:0006032,chitin catabolic process,"The chemical reactions and pathways resulting in the breakdown of chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues."
GO:0006068,ethanol catabolic process,"The chemical reactions and pathways resulting in the breakdown of ethanol, CH3-CH2-OH, a colorless, water-miscible, flammable liquid produced by alcoholic fermentation."
GO:0072392,phenol catabolic process,"The chemical reactions and pathways resulting in the breakdown of phenol, a compound that consists of a benzene ring with one attached hydroxyl group."
